id,lead_fname,lead_email,lead_phone,lead_pincode,partner_access_id,timestamp,order_id,invoice_url,order_status,order_delivery_date,api_method,flag,error_status
28,John,miller.tyrique@kautzer.net,+91 79313 82869,226001,GCU3Q1,2019-11-01 00:00:10 UTC,GSS028,f,delivered,06-Sep-21,waead,no,yes
29,Austin,camille96@yahoo.com,+91 63583 02760,632002,BED2SO,2019-11-01 00:00:10 UTC,GSS029,e,pending,07-Sep-21,waw,no,yes
30,Kaitlin,umcdermott@hotmail.com,+91 61279 86723,400709,YNCWBE,2019-11-01 00:00:11 UTC,GSS030,a,transit,04-Sep-21,awdzx,no,no
31,Laura,reagan28@graham.org,+91 61279 32541,110010,BTZYCM,2019-11-01 00:00:11 UTC,GSS031,a,delivered,04-Sep-21,afas,no,no
32,Joshua,cecil.brekke@hotmail.com,+91 62101 43508,700033,V82KOC,2019-11-01 00:00:12 UTC,GSS032,b,pending,02-Sep-21,awefaw,yes,yes
33,Barbara,kaelyn.bergstrom@hotmail.com,+91 67196 83512,411036,BO2VP5,2019-11-01 00:00:12 UTC,GSS033,c,transit,04-Sep-21,waead,no,yes
34,Sandra,huel.shawna@hotmail.com,+91 82470 93559,500081,R46AA6,2019-11-01 00:00:12 UTC,GSS034,a,delivered,28-Aug-21,waw,yes,no
35,Christopher,kling.ferne@legros.com,+91 83275 35775,110008,JCR5TM,2019-11-01 00:00:12 UTC,GSS035,f,pending,30-Aug-21,awdzx,yes,yes
36,Eric,areynolds@pfeffer.com,+91 74474 92876,390010,BAKH3O,2019-11-01 00:00:12 UTC,GSS036,g,transit,02-Sep-21,afas,no,yes
37,Christopher,qbeier@yahoo.com,+91 61279 90620,135003,6WVA9I,2019-11-01 00:00:13 UTC,GSS037,s,delivered,31-Aug-21,awefaw,no,no
38,Jonathan,marc51@hotmail.com,+91 71916 04476,600083,GYJ5UW,2019-11-01 00:00:13 UTC,GSS038,f,pending,04-Sep-21,waead,no,no
39,Linda,trace.effertz@corwin.biz,+91 61279 58905,400094,IY1MFH,2019-11-01 00:00:13 UTC,GSS039,e,transit,02-Sep-21,waw,no,yes
40,Amber,lizeth.feest@gmail.com,+91 61279 62123,400010,NOM5YH,2019-11-01 00:00:14 UTC,GSS040,a,delivered,02-Sep-21,awdzx,yes,yes
41,Kristina,hermina63@hotmail.com,+91 61279 99032,560035,81JMUM,2019-11-01 00:00:14 UTC,GSS041,a,pending,30-Aug-21,afas,no,no
42,Gary,bode.hector@hand.biz,+91 61279 25321,700117,LEWKVY,2019-11-01 00:00:14 UTC,GSS042,b,transit,28-Aug-21,awefaw,yes,yes
43,Chad,xjones@hotmail.com,+91 81686 47588,560043,1TISCT,2019-11-01 00:00:14 UTC,GSS043,c,delivered,31-Aug-21,waead,yes,yes
44,Kathryn,viviane11@erdman.com,+91 73182 23361,686018,3V4OGD,2019-11-01 00:00:15 UTC,GSS044,a,pending,05-Sep-21,waw,no,no
45,Joseph,leichmann@maggio.biz,+91 61279 58256,410206,91G5Y9,2019-11-01 00:00:15 UTC,GSS045,f,transit,05-Sep-21,awdzx,no,no
46,Christopher,msenger@hotmail.com,+91 61279 38223,410210,NMCSHZ,2019-11-01 00:00:16 UTC,GSS046,g,delivered,01-Sep-21,afas,no,yes
47,John,lemuel.witting@blanda.biz,+91 61279 22752,380058,6SFAU2,2019-11-01 00:00:16 UTC,GSS047,s,pending,27-Aug-21,awefaw,no,yes
48,Amy,don.sauer@gmail.com,+91 61279 57140,411028,OAOKMZ,2019-11-01 00:00:16 UTC,GSS048,f,transit,02-Sep-21,waead,yes,no
49,Amber,wstiedemann@connelly.com,+91 89173 57702,641002,XVP9PQ,2019-11-01 00:00:16 UTC,GSS049,e,delivered,27-Aug-21,waw,no,yes
50,Brandon,else.bins@hotmail.com,+91 61279 38992,110021,3MQ8YR,2019-11-01 00:00:17 UTC,GSS050,a,pending,27-Aug-21,awdzx,yes,yes
51,Jeremy,russel.emilio@yahoo.com,+91 74774 33833,700008,SPNTW2,2019-11-01 00:00:17 UTC,GSS051,a,transit,29-Aug-21,afas,yes,no
52,Mr.,kub.ned@yahoo.com,+91 61279 46215,560066,2VEDHP,2019-11-01 00:00:17 UTC,GSS052,b,delivered,26-Aug-21,awefaw,no,no
53,Kayla,sbeer@rodriguez.biz,+91 79790 41166,560039,HAN8S9,2019-11-01 00:00:17 UTC,GSS053,c,pending,27-Aug-21,waead,no,yes
54,John,frank.larson@lynch.com,+91 61279 75865,781021,79V0QC,2019-11-01 00:00:18 UTC,GSS054,a,transit,28-Aug-21,waw,no,yes
55,Melanie,heller.gussie@hotmail.com,+91 68084 54641,110034,I4BTG1,2019-11-01 00:00:18 UTC,GSS055,f,delivered,28-Aug-21,awdzx,no,no
56,Morgan,hskiles@hotmail.com,+91 67188 16447,400093,ZREPRE,2019-11-01 00:00:18 UTC,GSS056,g,pending,29-Aug-21,afas,yes,yes
57,Michael,cayla.cartwright@yahoo.com,+91 61279 22958,400067,4M0E5T,2019-11-01 00:00:18 UTC,GSS057,s,transit,28-Aug-21,awefaw,no,yes
58,Beverly,morissette.gina@gmail.com,+91 788 748 3776,201301,LRKTTS,2019-11-01 00:00:19 UTC,GSS058,f,delivered,26-Aug-21,waead,yes,no
59,Lisa,kgrant@yahoo.com,+91 61279 57824,503001,7MJ7QZ,2019-11-01 00:00:19 UTC,GSS059,e,pending,28-Aug-21,waw,yes,no
60,Elizabeth,eloy82@yahoo.com,+91 61279 79923,639117,QYPX3A,2019-11-01 00:00:19 UTC,GSS060,a,transit,05-Sep-21,awdzx,no,yes
61,Martin,sleuschke@lakin.net,+91 788 728 1855,201301,RQSK7V,2019-11-01 00:00:19 UTC,GSS061,a,delivered,31-Aug-21,afas,no,yes
62,Karina,cronin.ilene@hotmail.com,+91 61279 41000,401107,W2XGEI,2019-11-01 00:00:19 UTC,GSS062,b,pending,28-Aug-21,awefaw,no,no
63,Carlos,qherzog@gmail.com,+91 61279 88043,411021,1OBVR3,2019-11-01 00:00:20 UTC,GSS063,c,transit,28-Aug-21,waead,no,yes
64,Michael,faustino68@hahn.com,+91 61279 54459,603103,48KWSS,2019-11-01 00:00:22 UTC,GSS064,a,delivered,02-Aug-21,waw,yes,yes
65,Eric,darian.schuster@hotmail.com,+91 61279 48433,560098,FOZNC4,2019-11-01 00:00:22 UTC,GSS065,f,pending,28-Aug-21,awdzx,no,no
66,Ryan,hziemann@gmail.com,+91 68094 78119,411060,R5K0EF,2019-11-01 00:00:23 UTC,GSS066,g,transit,31-Aug-21,afas,yes,no
67,Michael,adah.ritchie@roob.com,+91 74496 82020,400018,9NS4RZ,2019-11-01 00:00:23 UTC,GSS067,s,delivered,26-Aug-21,awefaw,yes,yes
68,Leah,jarvis05@ullrich.org,+91 61279 95632,600070,9NOOUS,2019-11-01 00:00:23 UTC,GSS068,f,pending,30-Aug-21,waead,no,yes
69,Joseph,pdavis@yahoo.com,+91 67198 31489,400058,PWB4VA,2019-11-01 00:00:23 UTC,GSS069,e,transit,26-Aug-21,waw,no,no
70,James,rzulauf@zulauf.net,+91 788 775 5340,560074,3RHL9S,2019-11-01 00:00:23 UTC,GSS070,a,delivered,28-Aug-21,awdzx,no,yes
71,Christopher,schinner.johnson@johnston.com,+91 82172 74454,382480,CRNRIY,2019-11-01 00:00:24 UTC,GSS071,a,pending,28-Aug-21,afas,no,yes
72,Grace,nleuschke@farrell.net,+91 788 764 8930,400064,PXRDAJ,2019-11-01 00:00:24 UTC,GSS072,b,transit,28-Aug-21,awefaw,yes,no
73,Alexander,derrick.kihn@gmail.com,+91 61279 93019,226010,V1PVO9,2019-11-01 00:00:25 UTC,GSS073,c,delivered,29-Aug-21,waead,no,no
74,Rhonda,stracke.amiya@hill.com,+91 71621 00138,560082,TAV2CN,2019-11-01 00:00:26 UTC,GSS074,a,pending,28-Aug-21,waw,yes,yes
75,Jonathan,fjakubowski@kreiger.com,+91 61279 31916,400071,WKDZ9X,2019-11-01 00:00:26 UTC,GSS075,f,transit,28-Aug-21,awdzx,yes,yes
76,Gabriel,parker.treutel@yahoo.com,+91 61217 78444,641004,LI97VB,2019-11-01 00:00:26 UTC,GSS076,g,delivered,26-Aug-21,afas,no,no
77,Julie,nveum@yahoo.com,+91 88473 42501,842001,0Y9FFS,2019-11-01 00:00:26 UTC,GSS077,s,pending,02-Sep-21,awefaw,no,yes
78,Melinda,darby.jacobs@runte.com,+91 81676 71457,500050,6SJSR7,2019-11-01 00:00:27 UTC,GSS078,f,transit,27-Aug-21,waead,no,yes
79,Jeffrey,jamal.mcglynn@gottlieb.com,+91 61279 49292,211002,BJ5NMS,2019-11-01 00:00:27 UTC,GSS079,e,delivered,25-Aug-21,waw,no,no
80,Alyssa,creola56@gmail.com,+91 73299 34256,400061,7Y7FCY,2019-11-01 00:00:27 UTC,GSS080,a,pending,26-Aug-21,awdzx,yes,no
81,Erika,leora60@gmail.com,+91 67114 62374,400706,L1IP1N,2019-11-01 00:00:27 UTC,GSS082,a,transit,26-Aug-21,afas,no,yes
82,Luke,zackary.boehm@crist.com,+91 73176 42606,831006,72NDB4,2019-11-01 00:00:27 UTC,GSS083,b,delivered,01-Sep-21,awefaw,yes,yes
83,Carrie,thalia.windler@yahoo.com,+91 68016 40232,700056,4KUM78,2019-11-01 00:00:28 UTC,GSS084,c,pending,29-Aug-21,waead,yes,no
84,Katherine,esmeralda.wiegand@yahoo.com,+91 65108 31553,560066,AUY1JA,2019-11-01 00:00:28 UTC,GSS085,a,transit,26-Aug-21,waw,no,yes
85,Alexandra,jonatan05@hotmail.com,+91 61279 57850,560100,D2JH8X,2019-11-01 00:00:28 UTC,GSS086,f,delivered,26-Aug-21,awdzx,no,yes
86,Karen,carroll.kylie@doyle.org,+91 61279 07515,600061,AXI7TU,2019-11-01 00:00:28 UTC,GSS087,g,pending,26-Aug-21,afas,no,no
87,Julia,wyost@marvin.info,+91 61279 15324,627412,ZYV2CZ,2019-11-01 00:00:29 UTC,GSS088,s,transit,25-Aug-21,awefaw,no,no
88,Joseph,noah.hegmann@gmail.com,+91 64117 72384,560087,NFLSDU,2019-11-01 00:00:29 UTC,GSS089,f,delivered,26-Aug-21,waead,yes,yes
89,Stacey,yolanda.friesen@homenick.net,+91 61279 58557,682021,JJW6IV,2019-11-01 00:00:30 UTC,GSS090,e,pending,25-Aug-21,waw,no,yes
90,John,zhermann@purdy.biz,+91 61279 65145,600042,QZUD5A,2019-11-01 00:00:30 UTC,GSS091,a,transit,28-Aug-21,awdzx,yes,no
91,Ashley,crooks.kiarra@hotmail.com,+91 80776 08124,110025,B2GX8L,2019-11-01 00:00:31 UTC,GSS092,a,delivered,23-Aug-21,afas,yes,yes
92,David,patricia80@wolff.com,+91 61291 23742,560076,DYPDNE,2019-11-01 00:00:35 UTC,GSS093,b,pending,26-Aug-21,awefaw,no,yes
93,Ricky,kacey.littel@gmail.com,+91 61279 07457,518002,RL9DDE,2019-11-01 00:00:35 UTC,GSS094,c,transit,30-Aug-21,waead,no,no
94,Tiffany,webster.altenwerth@gmail.com,+91 71916 63471,560100,CD31US,2019-11-01 00:00:35 UTC,GSS095,a,delivered,25-Aug-21,waw,no,no
95,Donna,roob.georgette@pollich.com,+91 74482 91215,400018,IJ8U6N,2019-11-01 00:00:36 UTC,GSS096,f,pending,23-Aug-21,awdzx,no,yes
96,Jasmine,ejacobson@yahoo.com,+91 61279 28708,574143,ZLRVR1,2019-11-01 00:00:36 UTC,GSS097,g,transit,26-Aug-21,afas,yes,yes
97,Jasmin,watsica.keven@gmail.com,+91 79313 30750,757041,Q2LEZE,2019-11-01 00:00:36 UTC,GSS098,s,delivered,10-Sep-21,awefaw,no,no
98,Cameron,nwyman@flatley.com,+91 61279 92662,342008,QREVS5,2019-11-01 00:00:37 UTC,GSS099,f,pending,05-Sep-21,waead,yes,yes
99,Lisa,graham.jerad@waelchi.com,+91 61279 00195,201301,UPJNP8,2019-11-01 00:00:38 UTC,GSS100,e,transit,23-Aug-21,waw,yes,yes
100,Terry,vbruen@yahoo.com,+91 61279 32246,110052,C5KQQZ,2019-11-01 00:00:39 UTC,GSS101,a,delivered,22-Aug-21,awdzx,no,no
101,Cody,irma.jacobson@macejkovic.net,+91 89175 65491,400037,VNNR7E,2019-11-01 00:00:39 UTC,GSS102,a,pending,25-Aug-21,afas,no,no
102,Wendy,keshawn.cruickshank@schneider.com,+91 62051 10790,400030,GM4PSF,2019-11-01 00:00:40 UTC,GSS103,b,transit,22-Aug-21,awefaw,no,yes
103,Robert,reynold.nikolaus@hammes.com,+91 61279 05260,360005,KQUDQM,2019-11-01 00:00:40 UTC,GSS104,c,delivered,22-Aug-21,waead,no,yes
104,Katelyn,nash56@yahoo.com,+91 788 782 3071,530013,DR92CA,2019-11-01 00:00:40 UTC,GSS105,a,pending,25-Aug-21,waw,yes,no
105,Michele,chauncey.schiller@gmail.com,+91 74476 10817,518501,PRZDJS,2019-11-01 00:00:41 UTC,GSS106,f,transit,25-Aug-21,awdzx,no,yes
106,Megan,mbeatty@metz.com,+91 61219 75205,396001,UAOLRJ,2019-11-01 00:00:41 UTC,GSS107,g,delivered,24-Aug-21,afas,yes,yes
107,Sean,eichmann.davon@yahoo.com,+91 61279 35289,560072,17MNEI,2019-11-01 00:00:41 UTC,GSS108,s,pending,22-Aug-21,awefaw,yes,no
108,Benjamin,yernser@metz.biz,+91 61279 39198,110009,E4E6T3,2019-11-01 00:00:41 UTC,GSS109,f,transit,23-Aug-21,waead,no,no
109,Daniel,portiz@schaefer.com,+91 82178 43499,628001,JHKLYZ,2019-11-01 00:00:41 UTC,GSS110,e,delivered,25-Aug-21,waw,no,yes
110,James,barton.katheryn@yahoo.com,+91 61279 90686,600117,YY7HXF,2019-11-01 00:00:41 UTC,GSS111,a,pending,24-Aug-21,awdzx,no,yes
111,Heather,kip68@hintz.com,+91 80790 79087,395007,2TILGV,2019-11-01 00:00:41 UTC,GSS112,a,transit,24-Aug-21,afas,no,no
112,Emily,isac.tromp@schulist.com,+91 62183 07399,422006,SVQEOG,2019-11-01 00:00:42 UTC,GSS113,b,delivered,19-Aug-21,awefaw,yes,yes
113,Amanda,rkassulke@ondricka.com,+91 61279 49493,141001,GZM2SW,2019-11-01 00:00:42 UTC,GSS114,c,pending,20-Aug-21,waead,no,yes
114,Laura,conroy.kyla@hotmail.com,+91 61279 35336,603202,Q532AP,2019-11-01 00:00:42 UTC,GSS115,a,transit,19-Aug-21,waw,yes,no
115,Stephanie,antwan18@marquardt.info,+91 62100 83970,201005,R829GN,2019-11-01 00:00:42 UTC,GSS116,f,delivered,21-Aug-21,awdzx,yes,no
116,Gregory,nzboncak@hotmail.com,+91 79790 31387,122018,157KAB,2019-11-01 00:00:43 UTC,GSS117,g,pending,24-Aug-21,afas,no,yes
117,Darlene,williamson.annette@blanda.com,+91 88492 52591,400708,0B77S6,2019-11-01 00:00:44 UTC,GSS118,s,transit,23-Aug-21,awefaw,no,yes
118,Jennifer,finn08@hotmail.com,+91 788 754 2681,122102,UAM1Y9,2019-11-01 00:00:44 UTC,GSS119,f,delivered,18-Aug-21,waead,no,no
119,Whitney,katherine18@raynor.biz,+91 61279 68710,400614,CU5A39,2019-11-01 00:00:45 UTC,GSS120,e,pending,21-Aug-21,waw,no,yes
120,Crystal,feest.marta@gmail.com,+91 81610 17752,504296,F9DKXS,2019-11-01 00:00:45 UTC,GSS121,a,transit,23-Aug-21,awdzx,yes,yes
121,Anthony,celestine28@gmail.com,+91 61201 30589,642005,J6PV5H,2019-11-01 00:00:46 UTC,GSS122,a,delivered,23-Aug-21,afas,no,no
122,Frank,cabshire@yahoo.com,+91 788 742 8224,500020,Z5PNEQ,2019-11-01 00:00:47 UTC,GSS123,b,pending,22-Aug-21,awefaw,yes,no
123,Taylor,wintheiser.emiliano@nitzsche.biz,+91 74478 23901,500019,RAK0SY,2019-11-01 00:00:48 UTC,GSS124,c,transit,19-Aug-21,waead,yes,yes
124,Elizabeth,devin.hartmann@witting.com,+91 73951 54254,110034,NH2MEH,2019-11-01 00:00:48 UTC,GSS125,a,delivered,18-Aug-21,waw,no,yes
125,Robert,wyatt.veum@gmail.com,+91 63100 78339,560102,LOD4LZ,2019-11-01 00:00:48 UTC,GSS126,f,pending,20-Aug-21,awdzx,no,no
126,Michele,brent.harvey@hotmail.com,+91 81672 66603,534202,9UU97A,2019-11-01 00:00:48 UTC,GSS127,g,transit,23-Aug-21,afas,no,yes
127,Ruth,verona.franecki@hotmail.com,+91 61279 57333,686681,SSOA2G,2019-11-01 00:00:49 UTC,GSS128,s,delivered,24-Aug-21,awefaw,no,yes
128,Eric,dstracke@yahoo.com,+91 88443 38584,500032,G1Z41C,2019-11-01 00:00:49 UTC,GSS129,f,pending,18-Aug-21,waead,yes,no
129,Duane,eudora.hackett@hotmail.com,+91 61279 02807,515001,OUOVP8,2019-11-01 00:00:49 UTC,GSS130,e,transit,23-Aug-21,waw,no,no
130,Brian,shania87@purdy.com,+91 81674 42322,515001,IODG8Q,2019-11-01 00:00:50 UTC,GSS131,a,delivered,23-Aug-21,awdzx,yes,yes
131,Matthew,tkoelpin@gmail.com,+91 62817 68349,520007,T9WOBQ,2019-11-01 00:00:50 UTC,GSS132,a,pending,23-Aug-21,afas,yes,yes
132,Gregory,adella.barrows@gmail.com,+91 61279 23558,711102,AJDB9KA,2019-11-01 00:00:50 UTC,GSS133,b,transit,28-Aug-21,awefaw,no,no
133,Margaret,halle.hermann@gutkowski.com,+91 65114 00538,201310,CAG4D2,2019-11-01 00:00:50 UTC,GSS134,c,delivered,23-Aug-21,waead,no,yes
134,Mason,rippin.adam@feeney.com,+91 61279 67355,700060,Y7D5LA,2019-11-01 00:00:51 UTC,GSS135,a,pending,23-Aug-21,waw,no,yes
135,Kyle,ggaylord@yahoo.com,+91 788 784 0500,562107,I2BY8K,2019-11-01 00:00:51 UTC,GSS136,f,transit,21-Aug-21,awdzx,no,no
136,Kendra,scotty.cassin@abernathy.com,+91 61279 73217,400071,QWBPHW,2019-11-01 00:00:51 UTC,GSS137,g,delivered,19-Aug-21,afas,yes,no
137,Cindy,sbalistreri@littel.com,+91 82476 34681,575028,WEPDWW,2019-11-01 00:00:52 UTC,GSS138,s,pending,22-Aug-21,awefaw,no,yes
138,Tyler,hwatsica@yahoo.com,+91 88474 44124,411034,UT19HZ,2019-11-01 00:00:53 UTC,GSS139,f,transit,24-Aug-21,waead,yes,yes
139,Ryan,dziemann@gmail.com,+91 61279 11337,500043,U5VB7R,2019-11-01 00:00:53 UTC,GSS140,e,delivered,18-Aug-21,waw,yes,no
140,Joseph,bode.bianka@gmail.com,+91 61279 60128,482003,NYNLPI,2019-11-01 00:00:54 UTC,GSS141,a,pending,23-Aug-21,awdzx,no,yes
141,Taylor,stamm.ramona@yahoo.com,+91 61279 63302,110092,L6W0M5,2019-11-01 00:00:55 UTC,GSS142,a,transit,17-Aug-21,afas,no,yes
142,Jason,xgoodwin@gmail.com,+91 74770 92298,500072,19N3NE,2019-11-01 00:00:55 UTC,GSS143,b,delivered,18-Aug-21,awefaw,no,no
143,William,nelson64@lebsack.info,+91 61279 07442,600117,KTW54P,2019-11-01 00:00:56 UTC,GSS144,c,pending,19-Aug-21,waead,no,no
144,Michael,thirthe@hotmail.com,+91 64196 98542,695125,GBUA1F,2019-11-01 00:00:56 UTC,GSS145,a,transit,23-Aug-21,waw,yes,yes
145,Linda,pearline.adams@yahoo.com,+91 89187 74334,400066,PYW7OP,2019-11-01 00:00:56 UTC,GSS146,f,delivered,19-Aug-21,awdzx,no,yes
146,Ronald,breitenberg.meaghan@hotmail.com,+91 61279 14362,110089,34P21K,2019-11-01 00:00:56 UTC,GSS147,g,pending,23-Aug-21,afas,yes,no
147,Martin,ftowne@schumm.net,+91 67111 40581,500049,XXUG4H,2019-11-01 00:00:58 UTC,GSS148,s,transit,23-Aug-21,awefaw,yes,yes
148,Matthew,freda33@yahoo.com,+91 61279 25599,201304,R7W87D,2019-11-01 00:00:58 UTC,GSS149,f,delivered,22-Aug-21,waead,no,yes
149,Gabriel,kyle.carroll@yahoo.com,+91 74472 31825,700156,E30PK4,2019-11-01 00:00:59 UTC,GSS150,e,pending,21-Aug-21,waw,no,no
150,Mr.,stracke.brooklyn@yahoo.com,+91 61279 16444,522006,2TXSLR,2019-11-01 00:00:59 UTC,GSS151,a,transit,19-Aug-21,awdzx,no,no
151,Dustin,schamberger.trinity@hudson.com,+91 61279 98985,400102,TU1E2D,2019-11-01 00:01:00 UTC,GSS152,a,delivered,17-Aug-21,afas,no,yes
152,Christopher,vyost@grimes.com,+91 89177 81415,400034,B8L8WO,2019-11-01 00:01:00 UTC,GSS153,b,pending,17-Aug-21,awefaw,yes,yes
153,Bradley,aaliyah66@gmail.com,+91 71950 81629,122001,X5GQX0,2019-11-01 00:01:01 UTC,GSS154,c,transit,24-Aug-21,waead,no,no
154,Tracy,bo49@mayert.com,+91 79790 62495,443001,NOHJYE,2019-11-01 00:01:01 UTC,GSS155,a,delivered,23-Aug-21,waw,yes,yes
155,Cynthia,autumn.hirthe@hotmail.com,+91 788 733 1289,518301,I9PI6U,2019-11-01 00:01:01 UTC,GSS156,f,pending,20-Aug-21,awdzx,yes,yes
156,Charles,gleichner.osborne@ondricka.biz,+91 61279 77111,421204,67IYJP,2019-11-01 00:01:02 UTC,GSS157,g,transit,14-Aug-21,afas,no,no
157,Cheryl,sally.moen@lueilwitz.com,+91 61279 28345,147001,W2X8N2,2019-11-01 00:01:02 UTC,GSS158,s,delivered,18-Aug-21,awefaw,no,no
158,Daniel,grayce.turcotte@hotmail.com,+91 64101 45303,400089,BYWIUQ,2019-11-01 00:01:02 UTC,GSS159,f,pending,16-Aug-21,waead,no,yes
159,Darryl,annabelle.waelchi@hotmail.com,+91 61279 45191,400089,DFVYQ4,2019-11-01 00:01:02 UTC,GSS160,e,transit,16-Aug-21,waw,no,yes
160,Andrew,sipes.jonatan@hotmail.com,+91 76070 61194,600033,2M4OMF,2019-11-01 00:01:03 UTC,GSS161,a,delivered,14-Aug-21,awdzx,yes,no
161,Michael,rjohns@hessel.com,+91 82077 88887,600053,D58A6J,2019-11-01 00:01:03 UTC,GSS162,a,pending,23-Aug-21,afas,no,yes
162,Jessica,quigley.martine@gmail.com,+91 61279 30395,560034,0HESWT,2019-11-01 00:01:03 UTC,GSS163,b,transit,17-Aug-21,awefaw,yes,yes
163,William,ybraun@hotmail.com,+91 61279 02981,421306,EMLJIC,2019-11-01 00:01:03 UTC,GSS164,c,delivered,16-Aug-21,waead,yes,no
164,Christopher,rrutherford@yahoo.com,+91 61787 16482,110037,GB1DAT,2019-11-01 00:01:03 UTC,GSS165,a,pending,16-Aug-21,waw,no,no
165,Jason,jeanie.lueilwitz@hotmail.com,+91 80661 55697,560077,3PAAIF,2019-11-01 00:01:03 UTC,GSS166,f,transit,18-Aug-21,awdzx,no,yes
166,Garrett,corkery.rhianna@will.com,+91 61279 92520,411007,9U701O,2019-11-01 00:01:03 UTC,GSS167,g,delivered,19-Aug-21,afas,no,yes
167,Mr.,willy.huel@hackett.com,+91 89175 51389,201301,VFZYD3,2019-11-01 00:01:04 UTC,GSS168,s,pending,14-Aug-21,awefaw,no,no
